arm,cell_type,CellID,chrom,chrom_role,HCG,HCG_n,GCH,GCH_n,noncpg,noncpg_n
smallwood_scBS,Ser,SRR1248494,chrM,control,0.0821,152,0.778,255,0.7662,1507
smallwood_scBS,Ser,SRR1248494,chr19,autosome,66.2682,32552,0.9727,184147,1.242,640392
smallwood_scBS,Ser,SRR1248495,chrM,control,0.4752,161,0.205,268,0.3947,1584
smallwood_scBS,Ser,SRR1248495,chr19,autosome,58.4297,37371,0.5999,204870,0.7447,706746
smallwood_scBS,Ser,SRR1248496,chrM,control,0.4165,165,0.7269,284,0.8807,1748
smallwood_scBS,Ser,SRR1248496,chr19,autosome,60.7167,36533,0.8053,201592,0.9827,695297
scNOMe,GM12878,SRR3729642,chrM,control,12.6984,63,18.1819,99,6.1224,343
scNOMe,GM12878,SRR3729642,chr21,autosome,36.4843,13372,20.3225,78981,0.5496,287838
scNOMe,GM12878,SRR3729643,chrM,control,11.3798,498,18.486,959,10.9872,3159
scNOMe,GM12878,SRR3729643,chr21,autosome,37.48,13013,16.634,74294,0.5369,258289
scNOMe,GM12878,SRR3729644,chrM,control,6.8965,29,40.0001,45,4.9669,151
scNOMe,GM12878,SRR3729644,chr21,autosome,34.891,5826,17.3143,35637,0.5245,125840
scNOMe,GM12878,SRR3729645,chrM,control,6.7797,59,9.8683,152,6.2623,503
scNOMe,GM12878,SRR3729645,chr21,autosome,31.3415,7817,14.8036,46781,0.5109,163357
scNOMe,GM12878,SRR3729646,chrM,control,8.7523,358,22.7163,693,11.4079,2618
scNOMe,GM12878,SRR3729646,chr21,autosome,40.4438,7424,20.093,45532,0.6101,173699
scNOMe,GM12878,SRR3729647,chrM,control,0.0,59,26.2774,137,1.3975,322
scNOMe,GM12878,SRR3729647,chr21,autosome,37.8467,7983,15.709,47339,0.5248,169428
scNOMe,GM12878,SRR3729648,chrM,control,10.9023,266,16.4716,470,10.4879,1541
scNOMe,GM12878,SRR3729648,chr21,autosome,33.5411,8903,10.7934,51263,0.4461,179060
scNOMe,GM12878,SRR3729649,chrM,control,8.3395,683,15.7987,1316,9.509,4847
scNOMe,GM12878,SRR3729649,chr21,autosome,38.3347,8817,15.0355,52335,0.5978,185176
scNOMe,GM12878,SRR3729650,chrM,control,10.2942,68,10.7914,139,2.6538,309
scNOMe,GM12878,SRR3729650,chr21,autosome,37.244,10779,11.9302,62836,0.4754,212681
scNOMe,GM12878,SRR3729651,chrM,control,0.0,14,52.7779,36,8.3334,108
scNOMe,GM12878,SRR3729651,chr21,autosome,44.2865,6614,15.8754,38973,0.4835,141623
scNOMe,GM12878,SRR3729652,chrM,control,8.2069,198,21.6457,395,9.8503,1236
scNOMe,GM12878,SRR3729652,chr21,autosome,37.2796,14178,16.9765,81892,0.5596,288349
scNOMe,GM12878,SRR3729653,chrM,control,16.279,43,44.8718,78,13.889,180
scNOMe,GM12878,SRR3729653,chr21,autosome,37.2189,9108,18.8263,52302,0.5167,184522
scNOMe,K562,K562_01,chrM,control,13.3506,826,19.0308,1536,12.9244,5836
scNOMe,K562,K562_01,chr21,autosome,26.1364,17886,7.0972,101712,0.4407,332768
scNOMe,K562,K562_02,chrM,control,2.439,41,18.2292,96,0.6441,207
scNOMe,K562,K562_02,chr21,autosome,25.4901,18005,11.4384,102459,0.4756,353666
scNOMe,K562,K562_03,chrM,control,10.1563,273,40.9239,520,10.64,1620
scNOMe,K562,K562_03,chr21,autosome,26.6507,34579,10.4797,191375,0.4587,629701
scNOMe,K562,K562_04,chrM,control,15.9588,113,12.1843,264,12.4055,661
scNOMe,K562,K562_04,chr21,autosome,24.5403,18117,10.813,102658,0.4653,345473
scNOMe,K562,K562_05,chrM,control,10.7845,51,42.1052,76,5.4769,283
scNOMe,K562,K562_05,chr21,autosome,25.283,18108,11.2456,105877,0.4832,361128
scNOMe,K562,K562_06,chrM,control,14.8975,146,33.2582,288,12.6086,844
scNOMe,K562,K562_06,chr21,autosome,26.2957,23390,8.4661,131678,0.4323,434061
scNOMe,K562,K562_07,chrM,control,5.4264,43,40.0,90,2.2422,223
scNOMe,K562,K562_07,chr21,autosome,25.2647,20343,8.8308,113278,0.4371,370536
scNOMe,K562,K562_08,chrM,control,0.0,29,24.6575,73,2.5641,195
scNOMe,K562,K562_08,chr21,autosome,27.5494,17870,11.1914,100644,0.4636,341448
scNOMe,K562,K562_09,chrM,control,3.2709,107,51.9172,163,6.5762,526
scNOMe,K562,K562_09,chr21,autosome,27.1566,20522,10.2609,112859,0.4588,374604
scNOMe,K562,K562_10,chrM,control,12.5001,56,8.6777,121,6.6843,283
scNOMe,K562,K562_10,chr21,autosome,24.153,9030,12.0891,52382,0.5013,179177
scNOMe,K562,K562_11,chrM,control,17.857,28,5.6603,53,5.9829,117
scNOMe,K562,K562_11,chr21,autosome,23.8382,17466,11.6974,100305,0.4439,337519
