CellID,TotalInputReads,Combined_TotalReads,Combined_UniqMapped,Combined_MappingRate,Combined_mCG_Rate,Combined_mCHG_Rate,Combined_mCHH_Rate,Trim_R1_InputReads,Trim_R1_TrimmedReads,Trim_R1_TrimmedReads_Pct,Trim_R1_ReadsWithAdapters,Trim_R1_ReadsWithAdapters_Pct,Trim_R2_InputReads,Trim_R2_TrimmedReads,Trim_R2_TrimmedReads_Pct,Trim_R2_ReadsWithAdapters,Trim_R2_ReadsWithAdapters_Pct,Bismark_R1_TotalReads,Bismark_R1_UniqMapped,Bismark_R1_MappingRate,Bismark_R1_Unmapped,Bismark_R1_Ambiguous,Bismark_R1_mCG_Rate,Bismark_R1_mCHG_Rate,Bismark_R1_mCHH_Rate,Bismark_R1_TotalC,Bismark_R2_TotalReads,Bismark_R2_UniqMapped,Bismark_R2_MappingRate,Bismark_R2_Unmapped,Bismark_R2_Ambiguous,Bismark_R2_mCG_Rate,Bismark_R2_mCHG_Rate,Bismark_R2_mCHH_Rate,Bismark_R2_TotalC,BAM_R1_TotalReads,BAM_R1_PrimaryMappedReads,BAM_R1_UniqMappedMapQ30Reads,BAM_R1_DuplicatePrimaryMapped,BAM_R1_UniqMappedMapQ30ReadsToLambda,BAM_R1_UniqMappedMapQ30ReadsToTargetSpecies,BAM_R2_TotalReads,BAM_R2_PrimaryMappedReads,BAM_R2_UniqMappedMapQ30Reads,BAM_R2_DuplicatePrimaryMapped,BAM_R2_UniqMappedMapQ30ReadsToLambda,BAM_R2_UniqMappedMapQ30ReadsToTargetSpecies,Trim_R1_QualityTrimmedBP,Trim_R1_TrimmedBP,Trim_R2_QualityTrimmedBP,Trim_R2_TrimmedBP,BAM_R1_Input,BAM_R1_Layout,BAM_R1_NHtagDetected,BAM_R1_TotalReads_Pct,BAM_R1_PrimaryMappedReads_Pct,BAM_R1_UniqMappedReads,BAM_R1_UniqMappedReads_Pct,BAM_R1_UniqMappedMapQ30Reads_Pct,BAM_R1_UniqMappedMapQ30ReadsToLambda_Pct,BAM_R1_UniqMappedMapQ30ReadsToTargetSpecies_Pct,BAM_R1_DuplicatePrimaryMapped_Pct,BAM_R1_SecondarySkipped,BAM_R1_SecondarySkipped_Pct,BAM_R1_SupplementarySkipped,BAM_R1_SupplementarySkipped_Pct,BAM_R1_UnmappedSkipped,BAM_R1_UnmappedSkipped_Pct,BAM_R1_NotCountedDueToLayout,BAM_R2_Input,BAM_R2_Layout,BAM_R2_NHtagDetected,BAM_R2_TotalReads_Pct,BAM_R2_PrimaryMappedReads_Pct,BAM_R2_UniqMappedReads,BAM_R2_UniqMappedReads_Pct,BAM_R2_UniqMappedMapQ30Reads_Pct,BAM_R2_UniqMappedMapQ30ReadsToLambda_Pct,BAM_R2_UniqMappedMapQ30ReadsToTargetSpecies_Pct,BAM_R2_DuplicatePrimaryMapped_Pct,BAM_R2_SecondarySkipped,BAM_R2_SecondarySkipped_Pct,BAM_R2_SupplementarySkipped,BAM_R2_SupplementarySkipped_Pct,BAM_R2_UnmappedSkipped,BAM_R2_UnmappedSkipped_Pct,BAM_R2_NotCountedDueToLayout,HCG_site_count,GCH_site_count,chrM_noncpg,chrM_endo,chrM_exo,chr21_noncpg,chr21_endo,chr21_exo
SRR3729652,50532062,48641196,24009184,49.35977314373602,49.25,13.65,15.25,25266031,25266031,100.0,11694758,46.3,25266031,25266031,100.0,10610399,42.0,25034425,12634172,50.5,10609996,1790257,49.4,13.8,15.5,239977221,23606771,11375012,48.2,10220659,2011100,49.1,13.5,15.0,207796838,12634171,12634171,8046698,9896343,0,8046698,11375011,11375011,7054407,8301533,0,7054407,86349044,2368914347,320835755,2139688838,04.alignment/SRR3729652_1.rmdup.RG.bam,SE,False,100.0,100.0,12634171,100.0,63.689956,0.0,100.0,78.329975,0,0.0,0,0.0,0,0.0,0,04.alignment/SRR3729652_2.rmdup.RG.bam,SE,False,100.0,100.0,11375011,100.0,62.016705,0.0,100.0,72.980439,0,0.0,0,0.0,0,0.0,0,572682,3584579,8.021,12.5,28.526,0.393,35.9845,19.261000000000003
SRR3729653,39898326,38747877,17724367,45.74280805113529,50.5,16.25,18.4,19949163,19949163,100.0,9185150,46.0,19949163,19949163,100.0,8309016,41.7,19779097,9239414,46.7,9137314,1402369,50.6,16.4,18.7,174868641,18968780,8484953,44.7,8934978,1548849,50.4,16.1,18.1,155759036,9239414,9239414,5872991,7426317,0,5872991,8484953,8484953,5320340,6495788,0,5320340,62758283,1870271584,207397094,1729475368,04.alignment/SRR3729653_1.rmdup.RG.bam,SE,False,100.0,100.0,9239414,100.0,63.56454,0.0,100.0,80.376494,0,0.0,0,0.0,0,0.0,0,04.alignment/SRR3729653_2.rmdup.RG.bam,SE,False,100.0,100.0,8484953,100.0,62.703235,0.0,100.0,76.556558,0,0.0,0,0.0,0,0.0,0,351984,2229570,,,,0.3235,35.0355,20.975
SRR3729654,18345586,17917931,1755690,9.79850854431798,46.7,2.75,4.85,9172793,9172793,100.0,4359932,47.5,9172793,9172793,100.0,3933940,42.9,9097962,904449,9.9,8027707,165806,46.8,2.7,5.4,17618093,8819969,851241,9.7,7751333,217395,46.6,2.8,4.3,16134832,904449,904449,547241,299135,0,547241,851241,851241,518292,258730,0,518292,13738440,864862528,63282857,818025818,04.alignment/SRR3729654_1.rmdup.RG.bam,SE,False,100.0,100.0,904449,100.0,60.505457,0.0,100.0,33.073728,0,0.0,0,0.0,0,0.0,0,04.alignment/SRR3729654_2.rmdup.RG.bam,SE,False,100.0,100.0,851241,100.0,60.886635,0.0,100.0,30.394448,0,0.0,0,0.0,0,0.0,0,222184,1344127,0.0,0.0,0.0,0.36,42.3475,0.753
SRR3729655,42694534,40509971,20915252,51.62988638031857,43.95,2.2,2.6500000000000004,21347267,21347267,100.0,10851988,50.8,21347267,21347267,100.0,10157421,47.6,20584309,10907396,53.0,8006830,1670083,44.0,2.2,2.6,207749614,19925662,10007856,50.2,8108291,1809515,43.9,2.2,2.7,185894588,10907395,10907395,6767049,8570730,0,6767049,10007822,10007822,6132967,7586143,0,6132967,75787334,1924487754,207827446,1806909827,04.alignment/SRR3729655_1.rmdup.RG.bam,SE,False,100.0,100.0,10907395,100.0,62.040927,0.0,100.0,78.57724,0,0.0,0,0.0,0,0.0,0,04.alignment/SRR3729655_2.rmdup.RG.bam,SE,False,100.0,100.0,10007822,100.0,61.281735,0.0,100.0,75.802138,0,0.0,0,0.0,0,0.0,0,538361,3461733,3.5715,0.0,0.0,0.2975,38.8275,1.0845
SRR3729656,43391606,41947222,23405910,55.79847456882842,72.8,1.2,1.4,21695803,21695803,100.0,11974352,55.2,21695803,21695803,100.0,11462368,52.8,21192813,12076662,57.0,7181030,1935121,72.8,1.2,1.4,223470092,20754409,11329248,54.6,7404817,2020344,72.8,1.2,1.4,206691133,12076661,12076661,7446384,7400940,0,7446384,11329247,11329247,6962820,6620258,0,6962820,67904494,1939957221,159127146,1863139517,04.alignment/SRR3729656_1.rmdup.RG.bam,SE,False,100.0,100.0,12076661,100.0,61.659295,0.0,100.0,61.282999,0,0.0,0,0.0,0,0.0,0,04.alignment/SRR3729656_2.rmdup.RG.bam,SE,False,100.0,100.0,11329247,100.0,61.458807,0.0,100.0,58.43511,0,0.0,0,0.0,0,0.0,0,1220457,8491426,0.9615,2.941,0.0,0.3445,75.7075,0.5115000000000001
SRR3729657,41577512,41124191,2250903,5.473428036553959,75.6,1.1,1.9,20788756,20788756,100.0,11486928,55.3,20788756,20788756,100.0,11155145,53.7,20713794,1143787,5.5,19346070,223937,75.6,1.1,1.8,20330919,20410397,1107116,5.4,19039366,263915,75.6,1.1,2.0,19349274,1143787,1143787,713738,134697,0,713738,1107116,1107116,693202,120279,0,693202,28739558,1900443068,90166167,1844788323,04.alignment/SRR3729657_1.rmdup.RG.bam,SE,False,100.0,100.0,1143787,100.0,62.401304,0.0,100.0,11.776406,0,0.0,0,0.0,0,0.0,0,04.alignment/SRR3729657_2.rmdup.RG.bam,SE,False,100.0,100.0,1107116,100.0,62.613312,0.0,100.0,10.864173,0,0.0,0,0.0,0,0.0,0,390837,2431190,1.1905,0.0,0.0,0.3265,79.07050000000001,0.8234999999999999
SRR3729658,10524008,10210539,5296118,51.8691324718509,50.0,1.2,1.4,5262004,5262004,100.0,2376344,45.2,5262004,5262004,100.0,2259202,42.9,5225431,2779218,53.2,2078004,368209,50.0,1.2,1.4,52666913,4985108,2516900,50.5,2057200,411008,50.0,1.2,1.4,46418471,2779218,2779218,1706790,1937661,0,1706790,2516900,2516900,1532431,1631278,0,1532431,18418909,498121148,58713292,458349744,04.alignment/SRR3729658_1.rmdup.RG.bam,SE,False,100.0,100.0,2779218,100.0,61.412599,0.0,100.0,69.719648,0,0.0,0,0.0,0,0.0,0,04.alignment/SRR3729658_2.rmdup.RG.bam,SE,False,100.0,100.0,2516900,100.0,60.885653,0.0,100.0,64.812984,0,0.0,0,0.0,0,0.0,0,214519,1434753,43.3335,0.0,33.333,0.304,45.469,1.598
SRR3729659,40813992,39167839,23870462,60.94403625382549,52.1,2.3,2.85,20406996,20406996,100.0,9521487,46.7,20406996,20406996,100.0,8891272,43.6,20077156,12497638,62.2,5906060,1673458,52.1,2.3,2.8,235090302,19090683,11372824,59.6,5866964,1850895,52.1,2.3,2.9,207295485,12497638,12497638,7642758,10008335,0,7642758,11372822,11372822,6861044,8664125,0,6861044,78211790,1894457692,242451596,1734729923,04.alignment/SRR3729659_1.rmdup.RG.bam,SE,False,100.0,100.0,12497638,100.0,61.15362,0.0,100.0,80.081812,0,0.0,0,0.0,0,0.0,0,04.alignment/SRR3729659_2.rmdup.RG.bam,SE,False,100.0,100.0,11372822,100.0,60.328422,0.0,100.0,76.182719,0,0.0,0,0.0,0,0.0,0,552839,3568430,2.4195,0.0,0.0,0.2865,49.649,1.0345
SRR3729660,42726180,41002336,22743291,55.46828112427546,48.35,2.0,2.3,21363090,21363090,100.0,10204696,47.8,21363090,21363090,100.0,9579715,44.8,21030594,11917014,56.7,7439340,1674240,48.4,2.0,2.3,225120446,19971742,10826277,54.2,7283754,1861711,48.3,2.0,2.3,198732221,11917013,11917013,7354329,9986589,0,7354329,10826277,10826277,6608661,8663610,0,6608661,78526745,1986385735,252524690,1816608227,04.alignment/SRR3729660_1.rmdup.RG.bam,SE,False,100.0,100.0,11917013,100.0,61.712855,0.0,100.0,83.801109,0,0.0,0,0.0,0,0.0,0,04.alignment/SRR3729660_2.rmdup.RG.bam,SE,False,100.0,100.0,10826277,100.0,61.042785,0.0,100.0,80.023908,0,0.0,0,0.0,0,0.0,0,376511,2472772,5.5555,0.0,8.3335,0.299,40.224,1.4515
SRR3729661,15220200,14781377,9419494,63.72541610974404,37.45,13.0,15.5,7610100,7610100,100.0,3505798,46.1,7610100,7610100,100.0,3243927,42.6,7556505,4953585,65.6,1984521,618399,37.6,13.1,15.6,96499639,7224872,4465909,61.8,2162125,596838,37.3,12.9,15.4,86441373,4953585,4953585,3241001,3411771,0,3241001,4465908,4465908,2837841,3021902,0,2837841,17426328,728851160,54806916,692365007,04.alignment/SRR3729661_1.rmdup.RG.bam,SE,False,100.0,100.0,4953585,100.0,65.427382,0.0,100.0,68.874785,0,0.0,0,0.0,0,0.0,0,04.alignment/SRR3729661_2.rmdup.RG.bam,SE,False,100.0,100.0,4465908,100.0,63.544547,0.0,100.0,67.666016,0,0.0,0,0.0,0,0.0,0,429910,2655000,14.101,17.0415,21.2525,0.3895,26.534,8.3675
SRR3729662,14996494,14569729,9298736,63.822298959712974,37.35,12.95,15.5,7498247,7498247,100.0,3432763,45.8,7498247,7498247,100.0,3173456,42.3,7445012,4879469,65.5,1954672,610871,37.5,13.0,15.6,94996480,7124717,4419267,62.0,2113763,591687,37.2,12.9,15.4,85464473,4879469,4879469,3183856,3345767,0,3183856,4419266,4419266,2801095,2974705,0,2801095,17542231,717972792,54185282,682222525,04.alignment/SRR3729662_1.rmdup.RG.bam,SE,False,100.0,100.0,4879469,100.0,65.250051,0.0,100.0,68.56826,0,0.0,0,0.0,0,0.0,0,04.alignment/SRR3729662_2.rmdup.RG.bam,SE,False,100.0,100.0,4419266,100.0,63.383716,0.0,100.0,67.312196,0,0.0,0,0.0,0,0.0,0,425702,2633885,14.758500000000002,20.1035,29.6025,0.3319999999999999,25.166,8.336500000000001
SRR3729663,13865206,13475944,8385708,62.2272398876101,34.2,5.7,5.85,6932603,6932603,100.0,3380993,48.8,6932603,6932603,100.0,3187420,46.0,6872329,4367172,63.5,1964383,540774,34.4,5.7,5.9,85031399,6603615,4018536,60.9,2056760,528319,34.0,5.7,5.8,78074513,4367172,4367172,2714710,2905612,0,2714710,4018536,4018536,2443765,2616051,0,2443765,16086787,656717847,46507577,627488454,04.alignment/SRR3729663_1.rmdup.RG.bam,SE,False,100.0,100.0,4367172,100.0,62.161738,0.0,100.0,66.533033,0,0.0,0,0.0,0,0.0,0,04.alignment/SRR3729663_2.rmdup.RG.bam,SE,False,100.0,100.0,4018536,100.0,60.812321,0.0,100.0,65.099603,0,0.0,0,0.0,0,0.0,0,456267,2853002,6.25,0.0,25.0,0.326,26.615,12.808
SRR3729664,13643382,13265878,8270311,62.34273374140784,34.2,5.65,5.85,6821691,6821691,100.0,3306064,48.5,6821691,6821691,100.0,3117336,45.7,6762246,4298011,63.6,1931652,532583,34.4,5.7,5.9,83664376,6503632,3972300,61.1,2007641,523691,34.0,5.6,5.8,77120161,4298010,4298010,2663214,2847202,0,2663214,3972300,3972300,2412165,2572244,0,2412165,16113590,646230245,45869717,617650627,04.alignment/SRR3729664_1.rmdup.RG.bam,SE,False,100.0,100.0,4298010,100.0,61.963886,0.0,100.0,66.244657,0,0.0,0,0.0,0,0.0,0,04.alignment/SRR3729664_2.rmdup.RG.bam,SE,False,100.0,100.0,3972300,100.0,60.724643,0.0,100.0,64.754525,0,0.0,0,0.0,0,0.0,0,452812,2830088,0.0,0.0,0.0,0.2875,27.6665,12.302
SRR3729665,13647608,13236532,8085594,61.085441413204,37.05,7.95,8.75,6823804,6823804,100.0,3366878,49.3,6823804,6823804,100.0,3101147,45.4,6771058,4239389,62.6,2011006,520663,37.2,8.0,8.8,83663271,6465474,3846205,59.5,2115586,503683,36.9,7.9,8.7,75528566,4239389,4239389,2672837,2818818,0,2672837,3846204,3846204,2361464,2511411,0,2361464,15634453,644280823,50078431,611367160,04.alignment/SRR3729665_1.rmdup.RG.bam,SE,False,100.0,100.0,4239389,100.0,63.047694,0.0,100.0,66.491138,0,0.0,0,0.0,0,0.0,0,04.alignment/SRR3729665_2.rmdup.RG.bam,SE,False,100.0,100.0,3846204,100.0,61.397263,0.0,100.0,65.295835,0,0.0,0,0.0,0,0.0,0,450055,2751566,12.7585,5.0,43.333,0.3625,27.131,12.2515
SRR3729666,13405118,13004408,7960536,61.21413600680631,37.0,7.85,8.7,6702559,6702559,100.0,3286558,49.0,6702559,6702559,100.0,3023781,45.1,6650496,4164627,62.6,1974458,511411,37.2,7.9,8.8,82178078,6353912,3795909,59.7,2059932,498071,36.8,7.8,8.6,74499513,4164626,4164626,2619246,2755562,0,2619246,3795909,3795909,2326145,2463885,0,2326145,15665703,632932534,49570485,600541071,04.alignment/SRR3729666_1.rmdup.RG.bam,SE,False,100.0,100.0,4164626,100.0,62.892706,0.0,100.0,66.165893,0,0.0,0,0.0,0,0.0,0,04.alignment/SRR3729666_2.rmdup.RG.bam,SE,False,100.0,100.0,3795909,100.0,61.280315,0.0,100.0,64.908959,0,0.0,0,0.0,0,0.0,0,444246,2728128,6.9815000000000005,6.25,32.4785,0.424,27.3255,12.348
