CellID,Trim_R1_InputReads,Trim_R1_TrimmedReads,Trim_R1_TrimmedReads_Pct,Trim_R2_InputReads,Trim_R2_TrimmedReads,Trim_R2_TrimmedReads_Pct,Bismark_TotalReads,Bismark_UniqMapped,Bismark_MappingRate,Bismark_Unmapped,Bismark_Ambiguous,Bismark_mCG_Rate,Bismark_mCHG_Rate,Bismark_mCHH_Rate,Bismark_TotalC,BAM_TotalAlignments,BAM_PrimaryMapped,BAM_Duplicates,BAM_MapQ30,BAM_MapQ30_Rate,chrM_noncpg,chrM_endo,chrM_exo,chr19_noncpg,chr19_endo,chr19_exo,CpG_TotalSites,CpG_TotalReads,CpG_MeanMethylation,CpG_MeanCoverage,CpG_MethylatedSites,CpG_MethylatedFrac,Trim_R1_ReadsWithAdapters,Trim_R1_ReadsWithAdapters_Pct,Trim_R1_QualityTrimmedBP,Trim_R1_TrimmedBP,Trim_R2_ReadsWithAdapters,Trim_R2_ReadsWithAdapters_Pct,Trim_R2_QualityTrimmedBP,Trim_R2_TrimmedBP,Bismark_OT,Bismark_OB,Bismark_CTOT,Bismark_CTOB,BAM_Secondary,BAM_Supplementary,BAM_Mapped,BAM_PrimaryMapped_iter,BisQC_Input,BisQC_TotalReads,BisQC_TotalReads_Pct,BisQC_Mapped,BisQC_Mapped_Pct,BisQC_MappedMapQ30,BisQC_MappedMapQ30_Pct,BisQC_MappedMapQ30ToLambda,BisQC_MappedMapQ30ToLambda_Pct,BisQC_MappedMapQ30ToTargetSpecies,BisQC_MappedMapQ30ToTargetSpecies_Pct,BisQC_DuplicateMapped,BisQC_DuplicateMapped_Pct,BisQC_SecondarySkipped,BisQC_SecondarySkipped_Pct,BisQC_SupplementarySkipped,BisQC_SupplementarySkipped_Pct
SRR1248467,19066379,19066379,100.0,19066379,19066379,100.0,33918256,5372097,15.8,5904208,22641951,20.2,0.9,1.5,107459812,5372097,5372097,1076082,3532839,65.7627552145838,0.356,0.0,0.0,0.344,16.995,0.338,914360,1250902,16.903958615862464,1.368062907388775,157369,17.21083599457544,4925184,25.8,38349057,1695330786,15493204,81.3,51464397,1693044183,1190274,1205732,1478157,1497934,0,0,5372097,5372097,./SRR1248467.SE.input_bismark_bt2.bam,5372097,100.0,5372097,100.0,3532839,65.7628,0,0.0,3532839,100.0,0,0.0,0,0.0,0,0.0
SRR1248468,17740157,17740157,100.0,17740157,17740157,100.0,31161956,5677157,18.2,5301610,20183189,40.3,0.9,1.5,112504199,5677156,5677156,878000,3768881,66.38677887308364,0.311,0.575,0.694,0.318,47.137,0.327,1028025,1346462,39.20543415772948,1.309756085698305,407714,39.65993044916223,4957090,27.9,33273798,1541704664,14517061,81.8,52820800,1537146844,1264764,1285422,1550471,1576499,0,0,5677156,5677156,./SRR1248468.SE.input_bismark_bt2.bam,5677156,100.0,5677156,100.0,3768881,66.3868,0,0.0,3768881,100.0,0,0.0,0,0.0,0,0.0
SRR1248477,19430498,19430498,100.0,19430498,19430498,100.0,32605138,9664659,29.6,8366733,14573746,72.9,1.8,2.1,190286344,9664659,9664659,2401385,6584881,68.13360926650387,0.1,0.527,0.0,0.706,81.736,0.644,1304093,1972912,76.31394737951995,1.5128614293612497,998082,76.53457230427586,8396647,43.2,41189929,1569918449,14810002,76.2,61438965,1579559566,2252745,2255902,2570218,2585794,0,0,9664659,9664659,./SRR1248477.SE.input_bismark_bt2.bam,9664659,100.0,9664659,100.0,6584881,68.1336,0,0.0,6584881,100.0,0,0.0,0,0.0,0,0.0
SRR1248478,15905437,15905437,100.0,15905437,15905437,100.0,24031172,5711369,23.8,8187219,10132584,64.9,1.9,2.9,109532876,5711369,5711369,1083476,3874747,67.84270111071443,0.297,0.217,0.629,0.809,77.663,0.762,946172,1267558,66.19628451275244,1.3396697429220057,628807,66.45800129363371,8826820,55.5,33373621,1124601435,12782508,80.4,55361167,1146334767,1336277,1340187,1507921,1526984,0,0,5711369,5711369,./SRR1248478.SE.input_bismark_bt2.bam,5711369,100.0,5711369,100.0,3874747,67.8427,0,0.0,3874747,100.0,0,0.0,0,0.0,0,0.0
SRR1248479,22116506,22116506,100.0,22116506,22116506,100.0,38018486,10325253,27.2,10046370,17646863,40.3,1.4,2.0,203167646,10325253,10325253,2422970,7079614,68.5660099563662,0.497,0.794,0.0,0.668,71.194,0.69,1445574,2282299,41.546596030365606,1.5788185177652614,611267,42.285417418962986,9140122,41.3,32460001,1834033140,16544485,74.8,68713202,1827238698,2385921,2396595,2756425,2786312,0,0,10325253,10325253,./SRR1248479.SE.input_bismark_bt2.bam,10325253,100.0,10325253,100.0,7079614,68.566,0,0.0,7079614,100.0,0,0.0,0,0.0,0,0.0
SRR1248480,17572229,17572229,100.0,17572229,17572229,100.0,29190432,8801247,30.2,9490032,10899153,59.3,1.3,2.0,175148159,8801247,8801247,1470922,5993909,68.1029517749019,0.184,0.463,0.0,0.533,70.851,0.539,1502968,2199888,62.13018146094944,1.4636958338434352,943337,62.76494243390411,8276404,47.1,25936969,1410279803,12728191,72.4,63334491,1396627602,2022778,2052108,2354462,2371899,0,0,8801247,8801247,./SRR1248480.SE.input_bismark_bt2.bam,8801247,100.0,8801247,100.0,5993909,68.103,0,0.0,5993909,100.0,0,0.0,0,0.0,0,0.0
SRR1248481,20725654,20725654,100.0,20725654,20725654,100.0,30014742,7272301,24.2,9859001,12883440,58.0,1.7,2.9,139189006,7272301,7272301,1423980,4982799,68.51750223209959,0.995,0.521,0.231,0.648,77.606,0.653,1135795,1604645,60.45679732698239,1.4127945623990246,691424,60.8757742374284,11870443,57.3,36763938,1432502136,16523335,79.7,88621880,1444542883,1687326,1695739,1930482,1958754,0,0,7272301,7272301,./SRR1248481.SE.input_bismark_bt2.bam,7272301,100.0,7272301,100.0,4982799,68.5175,0,0.0,4982799,100.0,0,0.0,0,0.0,0,0.0
SRR1248482,21358923,21358923,100.0,21358923,21358923,100.0,35132938,10398387,29.6,10131159,14603392,22.9,1.3,2.1,207484109,10398387,10398387,1854949,7076617,68.05494929165457,0.712,2.933,1.515,0.657,34.445,0.665,1812468,2711013,22.26534549575461,1.4957577182052315,423971,23.39191643659364,9713377,45.5,29648264,1716886191,15784817,73.9,76099937,1711697961,2393536,2396943,2796439,2811469,0,0,10398387,10398387,./SRR1248482.SE.input_bismark_bt2.bam,10398387,100.0,10398387,100.0,7076617,68.0549,0,0.0,7076617,100.0,0,0.0,0,0.0,0,0.0
SRR1248483,22524548,22524548,100.0,22524548,22524548,100.0,36798002,7361807,20.0,10926216,18509979,71.5,2.7,3.0,141940737,7361807,7361807,1771709,4983542,67.69454836292232,1.61,1.773,0.242,2.395,85.315,1.7,1007231,1472603,75.03856545320792,1.4620310534524852,757811,75.23706081325933,10161517,45.1,37704561,1759970569,17996400,79.9,79721439,1758189665,1698605,1707851,1961106,1994245,0,0,7361807,7361807,./SRR1248483.SE.input_bismark_bt2.bam,7361807,100.0,7361807,100.0,4983542,67.6945,0,0.0,4983542,100.0,0,0.0,0,0.0,0,0.0
SRR1248484,19473176,19473176,100.0,19473176,19473176,100.0,27958106,5758554,20.6,14082728,8116824,68.9,2.6,3.5,108928528,5758554,5758554,837112,3937852,68.3826530062929,0.856,0.0,0.425,0.671,79.469,0.646,1030877,1336668,70.24403110167368,1.296631896918837,726420,70.46621468904631,12630492,64.9,31116997,1313029450,15299453,78.6,94955021,1270387234,1328939,1338670,1530051,1560894,0,0,5758554,5758554,./SRR1248484.SE.input_bismark_bt2.bam,5758554,100.0,5758554,100.0,3937852,68.3827,0,0.0,3937852,100.0,0,0.0,0,0.0,0,0.0
SRR1248485,19387036,19387036,100.0,19387036,19387036,100.0,29510656,8018675,27.2,12400827,9091154,54.6,1.4,2.3,157482279,8018675,8018675,935517,5427945,67.6912956317596,1.21,1.773,0.392,0.447,63.32,0.49,1556956,2043711,55.554142005297535,1.3126324700248433,879343,56.47834620888451,11431144,59.0,29080698,1400316804,14639775,75.5,84745667,1371715160,1833705,1843523,2156182,2185265,0,0,8018675,8018675,./SRR1248485.SE.input_bismark_bt2.bam,8018675,100.0,8018675,100.0,5427945,67.6913,0,0.0,5427945,100.0,0,0.0,0,0.0,0,0.0
SRR1248486,22371353,22371353,100.0,22371353,22371353,100.0,34146154,8505627,24.9,12382226,13258301,63.1,1.9,2.7,165353164,8505627,8505627,1311486,5738934,67.47220398919444,0.163,1.004,0.222,0.867,75.626,0.704,1438439,2006622,66.13102831611218,1.3949997184447864,958553,66.63841845222494,12467979,55.7,32995950,1616764644,17435665,77.9,99917226,1594021777,1944692,1950772,2289868,2320295,0,0,8505627,8505627,./SRR1248486.SE.input_bismark_bt2.bam,8505627,100.0,8505627,100.0,5738934,67.4722,0,0.0,5738934,100.0,0,0.0,0,0.0,0,0.0
SRR1248487,21700471,21700471,100.0,21700471,21700471,100.0,31719276,6379036,20.1,14147558,11192682,68.8,2.3,3.4,120999232,6379036,6379036,1052493,4316218,67.66254336862184,0.17,0.0,0.0,1.088,80.823,0.851,1046135,1386571,71.61065261175669,1.325422627098797,751464,71.83241168682818,13164103,60.7,35514437,1496884983,17161116,79.1,104909367,1463443929,1456376,1463864,1714558,1744238,0,0,6379036,6379036,./SRR1248487.SE.input_bismark_bt2.bam,6379036,100.0,6379036,100.0,4316218,67.6625,0,0.0,4316218,100.0,0,0.0,0,0.0,0,0.0
SRR1248488,21329965,21329965,100.0,21329965,21329965,100.0,26903862,3836657,14.3,12834447,10232758,64.3,3.4,6.9,66742423,3836657,3836657,887351,2702868,70.44851807185266,0.615,1.63,1.0,1.118,74.192,0.869,594088,735543,64.49001099163776,1.2381044559055223,385198,64.8385424381573,15476724,72.6,36434779,1211440067,18511922,86.8,124576565,1193299690,879664,886209,1015344,1055440,0,0,3836657,3836657,./SRR1248488.SE.input_bismark_bt2.bam,3836657,100.0,3836657,100.0,2702868,70.4485,0,0.0,2702868,100.0,0,0.0,0,0.0,0,0.0
SRR1248489,18620980,18620980,100.0,18620980,18620980,100.0,25848480,4694943,18.2,13365918,7787619,54.6,2.2,4.2,86976839,4694942,4694942,734678,3221608,68.61869646099994,0.129,1.4,0.469,0.727,65.408,0.641,867806,1069713,53.71121893602948,1.2326637520367456,469249,54.07303014729098,12625570,67.8,34839644,1196565540,15382160,82.6,89453193,1162318329,1085650,1095510,1241393,1272389,0,0,4694942,4694942,./SRR1248489.SE.input_bismark_bt2.bam,4694942,100.0,4694942,100.0,3221608,68.6187,0,0.0,3221608,100.0,0,0.0,0,0.0,0,0.0
SRR1248490,16040768,16040768,100.0,16040768,16040768,100.0,27085496,11681132,43.1,10050173,5354191,60.4,1.7,1.9,233259471,11681131,11681131,1129347,7854083,67.23735056134548,0.497,0.347,0.258,0.898,71.222,0.826,2292031,3082078,62.26059834269321,1.3446929819012046,1462370,63.80236567480981,8809052,54.9,19443500,1285940625,10490214,65.4,53005922,1269129285,2667633,2678454,3151460,3183584,0,0,11681131,11681131,./SRR1248490.SE.input_bismark_bt2.bam,11681131,100.0,11681131,100.0,7854083,67.2374,0,0.0,7854083,100.0,0,0.0,0,0.0,0,0.0
SRR1248491,16089156,16089156,100.0,16089156,16089156,100.0,23963410,6221173,26.0,10420164,7322073,56.6,2.1,3.5,117082379,6221173,6221173,1195526,4308365,69.25325818780478,0.0,0.118,0.0,0.787,66.178,0.669,1066299,1385659,54.7838705560073,1.2995032350213214,589011,55.23882138124485,10532424,65.5,25477333,1063226107,12749238,79.2,58855767,1070256856,1443683,1457204,1640216,1680070,0,0,6221173,6221173,./SRR1248491.SE.input_bismark_bt2.bam,6221173,100.0,6221173,100.0,4308365,69.2533,0,0.0,4308365,100.0,0,0.0,0,0.0,0,0.0
SRR1248492,21825607,21825607,100.0,21825607,21825607,100.0,30352088,9657601,31.8,11653788,9040699,52.5,2.0,3.9,180894991,9657601,9657601,1776588,6596283,68.3014653432048,0.078,0.0,0.82,0.625,59.904,0.549,1667351,2209893,52.10471995998434,1.3253915942114167,886078,53.14285954187211,15407091,70.6,28896033,1318930775,17514262,80.2,100815500,1328464182,2205188,2247198,2592668,2612547,0,0,9657601,9657601,./SRR1248492.SE.input_bismark_bt2.bam,9657601,100.0,9657601,100.0,6596283,68.3015,0,0.0,6596283,100.0,0,0.0,0,0.0,0,0.0
SRR1248493,22770588,22770588,100.0,22770588,22770588,100.0,30295054,8079546,26.7,12829086,9386422,68.2,2.4,4.3,149231565,8079546,8079546,1727126,5616662,69.51704959659862,0.203,0.0,0.0,0.796,79.937,0.723,1231202,1720833,70.31732012293686,1.397685351388318,872443,70.86107722372121,16261641,71.4,33523940,1357249438,18588266,81.6,111712320,1348714579,1857429,1891636,2139613,2190868,0,0,8079546,8079546,./SRR1248493.SE.input_bismark_bt2.bam,8079546,100.0,8079546,100.0,5616662,69.517,0,0.0,5616662,100.0,0,0.0,0,0.0,0,0.0
SRR1248494,21326695,21326695,100.0,21326695,21326695,100.0,29212398,7189504,24.6,12281206,9741688,64.7,2.6,4.4,131533887,7189503,7189503,1545646,4989651,69.4018905062005,0.492,0.219,0.0,0.786,73.807,0.743,1146994,1498703,65.65779387686426,1.3066354313972,757823,66.07035433489627,14943217,70.1,32896257,1278793808,17641785,82.7,99338605,1278575031,1640744,1663471,1911573,1973715,0,0,7189503,7189503,./SRR1248494.SE.input_bismark_bt2.bam,7189503,100.0,7189503,100.0,4989651,69.4019,0,0.0,4989651,100.0,0,0.0,0,0.0,0,0.0
SRR1248495,27893745,27893745,100.0,27893745,27893745,100.0,36846150,8434426,22.9,16124426,12287298,58.9,2.4,5.3,149128457,8434426,8434426,2129231,5874894,69.6537500002964,0.234,0.0,0.213,0.484,67.342,0.496,1289348,1716033,59.3130769117415,1.3309308270536735,772196,59.8904252381824,20991706,75.3,40042531,1542165858,23708327,85.0,136304463,1559417933,1930434,1952840,2237745,2313407,0,0,8434426,8434426,./SRR1248495.SE.input_bismark_bt2.bam,8434426,100.0,8434426,100.0,5874894,69.6538,0,0.0,5874894,100.0,0,0.0,0,0.0,0,0.0
SRR1248496,23375132,23375132,100.0,23375132,23375132,100.0,31384296,8109215,25.8,13392305,9882776,60.7,2.4,4.7,146318501,8109215,8109215,1764860,5643372,69.59208752018536,0.846,0.436,0.875,0.599,69.352,0.608,1318967,1717760,60.56898619904826,1.30235252284553,805657,61.08242283544622,17257051,73.8,32892286,1341012697,19338492,82.7,113516632,1346574915,1846615,1868802,2160377,2233421,0,0,8109215,8109215,./SRR1248496.SE.input_bismark_bt2.bam,8109215,100.0,8109215,100.0,5643372,69.5921,0,0.0,5643372,100.0,0,0.0,0,0.0,0,0.0
